0,-1,-1,1,1003.5,460.5
0,-1,-1,1,1048.5,361.5
0,-1,-1,1,792,571.5
1,393,468,0,-1,-1
0,-1,-1,1,772.5,418.5
0,-1,-1,1,786,616.5
1,265.5,483.0,0,-1,-1
1,604.5,352.5,0,-1,-1
1,612.0,93.0,0,-1,-1
0,-1,-1,1,991.5,390.0
1,618.0,531.0,0,-1,-1
1,519.0,439.5,0,-1,-1
0,-1,-1,1,1006.5,420.0
0,-1,-1,1,885.0,409.5
0,-1,-1,1,1008.0,412.5
1,333.0,106.5,0,-1,-1
0,-1,-1,1,654.0,364.5
1,396.0,201.0,0,-1,-1
1,495.0,478.5,0,-1,-1
1,259.5,460.5,0,-1,-1
1,580.5,367.5,0,-1,-1
0,-1,-1,1,741.0,328.5
1,229.5,507.0,0,-1,-1
1,406.5,184.5,0,-1,-1
1,625.5,379.5,0,-1,-1
0,-1,-1,1,715.5,495.0
0,-1,-1,1,991.5,484.5
0,-1,-1,1,973.5,405.5
0,-1,-1,1,714.0,345.0
1,573.0,253.5,0,-1,-1
0,-1,-1,1,657.0,363.0
0,-1,-1,1,958.5,396.0
1,585.0,505.5,0,-1,-1
1,430.5,390.0,0,-1,-1
0,-1,-1,1,682.5,366.0
1,501.0,411.0,0,-1,-1
1,412.5,340.5,0,-1,-1
1,297.0,162.0,0,-1,-1
1,466.5,429.0,0,-1,-1
1,172.5,532.5,0,-1,-1
0,-1,-1,1,982.5,385.5
0,-1,-1,1,1032.0,232.0
1,627.0,580.5,0,-1,-1
0,-1,-1,1,1147.5,609.0
1,481.5,631.5,0,-1,-1
0,-1,-1,1,682.5,181.5
1,505.5,448.5,0,-1,-1
